D,N,ticks,n_obs,mean_abs,median_abs,std,bias,min,max,within_correct,within_1adj
1,5,1091,3390,51.81578171091446,39.1,64.37646735779127,-19.739380530973452,-179.8,179.9,29.882005899705018,56.932153392330385
1,10,913,4824,31.613391376451077,20.05,48.31452393154715,-5.8390961857379775,-178.7,177.3,53.29601990049751,79.39469320066334
1,25,1239,11282,22.284993795426345,16.2,32.02577265741737,-3.629861726644212,-177.9,179.4,66.80553093423151,89.14199609998226
1,50,2196,53587,24.000828559165466,16.4,35.933641067905164,-0.5649616511467334,-178.7,179.9,65.74355720603879,86.9632560135854
1,100,1640,66765,18.299092338800268,14.7,24.660846233507648,1.8425447464989144,-180.0,177.7,71.73069722159813,94.32936418782296
1,150,9990,772408,20.73507369162411,16.0,27.88862811268932,-0.8870366438462575,-179.9,179.9,67.11323549212334,90.03143416432766
1,200,9990,505335,32.41357119534567,29.9,38.998074326219616,-0.3296130289807749,-179.5,178.9,37.74525809611446,73.05173795600938
1,250,9989,498871,36.06624838886206,34.1,42.566525367819125,-2.559807645663909,-175.9,156.3,31.331747084917744,67.26007324538809
1,300,9991,512017,35.14073829579879,33.5,41.55915689986065,0.3464916203954167,-166.1,160.4,32.487397879367286,69.14321204178768
1,350,9988,528012,36.115782974629354,34.6,42.61248719222581,-0.45825663053112425,-150.6,174.3,31.58848662530397,66.95775853579086
1,400,9989,541485,36.87357470659391,35.3,43.668046319922865,-2.190809717720713,-173.8,173.3,30.245343823005257,67.39688080002216
2,5,752,2309,35.83464703334777,25.2,50.727498189755515,-7.44183629276743,-179.5,178.3,46.42702468601126,75.74707665656129
2,10,1219,9743,24.02738376270143,19.2,33.32536164234921,-5.52928256183927,-179.5,179.8,59.52991891614492,89.23329569947654
2,25,1427,17963,25.582681066636972,17.4,37.97319558895043,0.9460390803317927,-179.7,179.5,62.11100595668875,85.28642208985137
2,50,2560,79847,21.167565468959385,15.7,30.76980125779282,-0.2963617919270604,-179.9,179.8,69.13096296667376,90.3553045198943
2,100,1526,76904,19.235738063039634,15.0,26.96364521972047,-0.30503744928742316,-179.8,179.8,71.46702382190784,93.00556538021429
