"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"sheepherding.nlogox"
"D3_N250_R2.5"
"03/21/2026 20:27:19:886 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-35","35"
"[run number]","nb-sheep","nb-dogs","n-topological","W-global-cohesion","R-repulsion","W-neigh-fleeing-cohesion","W-neigh-grazing-cohesion","vision-range","see-centroid","use-density-gradient?","with-exit?","[step]","ticks","done?","current-phase","ticks-to-success","holding-time","sheep-in-zone","sheep-captured-count","dogs-distance","lost-sheep","flock-spreadness","mean-spreadness"
"8","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1838","1838","true","exiting","1837","0","0","250","4835.09052552498","0","0","23.38513634238505"
"7","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1827","1827","true","exiting","1826","0","0","250","5074.138820981707","0","0","24.83994636723216"
"10","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2226","2226","true","exiting","2225","0","0","250","5951.545981597086","0","0","22.948877628921387"
"5","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3337","3337","true","exiting","3336","0","0","250","7715.409004295094","0","0","17.972276719447255"
"2","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2891","2891","true","exiting","2890","0","0","250","7515.969328403575","0","0","22.341528984874977"
"3","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2956","2956","true","exiting","2955","0","0","250","7500.558270257408","0","0","22.66932863398637"
"4","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2907","2907","true","exiting","2906","0","0","250","7290.095511733965","0","0","19.128933085699778"
"6","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3307","3307","true","exiting","3306","0","0","250","8663.501201237732","0","0","28.511055722507333"
"12","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1807","1807","true","exiting","1806","0","0","250","4888.217239066307","0","0","23.2863425659718"
"9","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3616","3616","true","exiting","3615","0","0","250","9160.133676604366","0","0","20.273691668340234"
"1","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3727","3727","true","exiting","3726","0","0","250","9200.742747273558","0","0","16.780246357024712"
"11","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2346","2346","true","exiting","2345","0","0","250","6084.603793676017","0","0","23.867343163869563"
"14","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2041","2041","true","exiting","2040","0","0","250","5324.814833183637","0","0","22.142100897255737"
"13","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2763","2763","true","exiting","2762","0","0","250","7058.073120901132","0","0","19.94746135179788"
"17","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2435","2435","true","exiting","2434","0","0","250","6587.644747956008","0","0","25.286565782622695"
"19","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2126","2126","true","exiting","2125","0","0","250","5748.767298944967","0","0","25.47993025358276"
"18","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2292","2292","true","exiting","2291","0","0","250","5811.157893591303","0","0","19.636529344470844"
"23","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2096","2096","true","exiting","2095","0","0","250","5729.449098988342","0","0","25.77796264184077"
"16","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3655","3655","true","exiting","3654","0","0","250","9595.926119153457","0","0","24.184211649478907"
"15","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3687","3687","true","exiting","3686","0","0","250","9268.205889033678","0","0","16.453409820041575"
"22","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3915","3915","true","exiting","3914","0","0","250","9777.512256181044","0","0","20.76080772385459"
"21","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3606","3606","true","exiting","3605","0","0","250","9372.839313489234","0","0","20.27798545841138"
"25","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2807","2807","true","exiting","2806","0","0","250","7253.863028169001","0","0","18.090042303775505"
"20","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","4531","4531","true","exiting","4530","0","0","250","11329.948173841449","0","0","17.918496271954826"
"26","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2777","2777","true","exiting","2776","0","0","250","7306.82201433698","0","0","20.4596488110033"
"24","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3789","3789","true","exiting","3788","0","0","250","9556.646714269593","0","0","18.797540159805656"
